"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J8";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Stepper 2";;;
2;"U1";"LQFP-80-1EP_10x10mm_P0.4mm_EP5.3x4.5mm_ThermalVias";1;"AX58100";;;
3;"B3,B7,B4,B6,B5";"C_0805_2012Metric";5;"BLM18EG221SN1D";;;
4;"R59,R61,R51,R45,R60,R58,R50,R57,R53,R52,R56,R55,R46,R54";"R_0805_2012Metric";14;"1k";;;
5;"U5";"LQFP-100_14x14mm_P0.5mm";1;"STM32F407VGT6";;;
6;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"24LC32A";;;
7;"R3,R49,R2,R48,R1";"R_0805_2012Metric";5;"22";;;
8;"C23,C21,C24,C22,C19,C25,C26,C20";"C_0805_2012Metric";8;"10pF";;;
9;"J3,J4,J5";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";3;"Conn_01x06_Pin";;;
10;"J9";"PinHeader_1x04_P2.54mm_Vertical";1;"I2C bus2";;;
11;"C45,C36,C34,C37,C38,C9,C39,C27,C13,C12,C40,C10,C8,C6,C29,C11,C46,C28,C3,C33,C41,C5,C2,C31,C18,C43,C14,C4,C7,C1";"C_0805_2012Metric";30;"0.1uF";;;
12;"Y2";"Crystal_HC49-U_Vertical";1;"8 MHz";;;
13;"R11,R7,R30,R12,R5,R10,R38,R13,R40,R33,R8";"R_0805_2012Metric";11;"4.7k";;;
14;"D1,D2";"LED_0805_2012Metric";2;"Green led";;;
15;"R28,R39,R25,R41,R26,R44,R27";"R_0805_2012Metric";7;"510";;;
16;"J14";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"Encoder 4";;;
17;"C35,C32,C44,C30";"C_0805_2012Metric";4;"10uF";;;
18;"C49,C53";"C_0805_2012Metric";2;"2.2uF";;;
19;"D4,D5";"LED_0805_2012Metric";2;"Blue led";;;
20;"R22,R18,R19,R20,R17,R23,R21,R24";"R_0805_2012Metric";8;"49.9";;;
21;"C17,C15";"C_0805_2012Metric";2;"18pF";;;
22;"Y1";"Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm";1;"NXK25.000AE12F-KAB6-12";;;
23;"J12";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"Encoder 2";;;
24;"J1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02_Pin";;;
25;"IN1,OUT1";"PulseJack JB0011D01BNL";2;"J0011D01BNL";;;
26;"J2";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"STLINK";;;
27;"C52,C51";"C_0805_2012Metric";2;"22pF";;;
28;"B2,B1";"C_0805_2012Metric";2;"BLM18EG221S";;;
29;"J10";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"DAC1";;;
30;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
31;"J7";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Stepper 1";;;
32;"J6";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Serial usart1";;;
33;"SW1";"SW_Push_1P1T_XKB_TS-1187A";1;"SW PB";;;
34;"C16";"C_0805_2012Metric";1;"1uF";;;
35;"D3";"LED_0805_2012Metric";1;"Red led";;;
36;"J13";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"Encoder 3";;;
37;"J11";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"Encoder 1";;;
38;"U3";"SOT-223-3_TabPin2";1;"AMS1117-1.2";;;
39;"R6";"R_0805_2012Metric";1;"12k 1%";;;
